countryiso3code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,country,region,income
CAN,2.491572344334445,1.2039546273918116,-0.7660872342736006,-0.2878467350105909,0.32487690215671133,-0.7243314752661573,0.14870295500911404,-0.17936319863672978,-0.1791965453687289,0.2864163983390282,-0.39143543793947727,-0.0015033496410310442,0.1504711884770298,0.21005801352358014,Canada,North America,High income
CHE,3.50256598852618,-0.25596182186184624,0.11634305575050402,-0.17792168673420483,-0.5160123808948036,-0.5749204309971144,0.3281726524527174,-0.08106401887432843,0.4274725303369155,-0.860012453563956,0.2750537033113001,0.17168644814901146,0.3285175875784579,0.13468967722546205,Switzerland,Europe & Central Asia,High income
CHL,1.4969296527421785,0.6290757856129393,-1.2057422282324224,0.09033826461293788,0.8609680346258536,-0.29344779573458973,0.3192938344132028,0.25925575976918847,0.6030509798157362,-0.18448782818874168,0.005389685334960051,-0.15005909464184816,-0.10511869113192619,-0.12257035183379358,Chile,Latin America & Caribbean ,High income
CHN,0.7126246841928984,2.20316323401448,0.4878369274754682,-1.5224597632774097,0.9557162287364958,-1.4003563376358452,1.5924716098066538,0.10857762979307996,-0.21108251684597004,0.09474696059849583,0.10531828194680384,0.051787228182447805,-0.3205950349252218,0.008802329450779557,China,East Asia & Pacific,Upper middle income
CIV,-2.5851339629112586,-0.007553058276330813,0.4194655984120394,-0.7916223939438273,-0.2759440055084738,-0.6317425918973941,-0.5722065753740317,0.577599007557589,-0.49305864621561385,-0.40927604773813203,0.27295807026593777,0.41101942481042103,0.2384047555640177,-0.0013499542686684057,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income
CMR,-2.8877823414617176,-0.05617509792295271,-0.5536073609662046,-0.2736976683969094,0.01566931636667914,-0.6120709633607523,-0.6446179447298029,0.40642281653120116,-0.19138825652527391,-0.30948728457477853,0.27339814966211023,0.13205448618195362,0.05708414815782892,-0.03944033628902671,Cameroon,Sub-Saharan Africa ,Lower middle income
COD,-3.1449066986796983,0.5816778733093003,1.876433496073382,0.25478608033091904,0.10523551975356257,0.5069626449381631,-0.04065208222027518,0.5083979320208493,-0.6228082959321587,-1.6077199953151604,0.06966126439303831,-0.3997297154236691,-0.2109542616310572,-0.030984556070082856,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income
COG,-1.603898238817852,0.9503173685120706,0.6848442327745609,2.2153544618717547,1.2862722188826339,0.1386969519820804,0.054878162980998485,0.40495891335486367,-0.18983209658217132,-0.8704620635988858,-0.276486067184635,0.1646059228678553,-0.3630294285718122,0.011664628845552232,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income
COL,-0.1805841963315589,-0.017587399451194568,-1.8670009730218569,0.06628250442181065,0.9613961622673168,-0.3612023696821556,-0.14923778014231726,0.05784395370831702,0.7266224525271382,0.022125778866000034,0.028930950223716858,-0.14774610104369726,-0.1179030711748879,0.14075660902018405,Colombia,Latin America & Caribbean ,Upper middle income
COM,-3.515008154665673,-1.6186904435045715,-0.6929392114568094,-0.49007120405423693,-0.4674643724596955,-0.441035331223107,-0.46756886071081416,-0.23176757809671786,0.2530795172828517,0.9730001622059018,-0.6029663601163268,0.020419192722511855,0.27844747625014943,0.28132231024031046,Comoros,Sub-Saharan Africa ,Lower middle income
CPV,0.6029695013482637,-2.006320214049911,-0.12202954031367572,0.1492687265312683,0.7950441044652811,-0.2574932681347941,0.42618757998024365,0.5302341973886118,0.29244975641813803,-0.14733678314899495,-0.13832042712904766,-0.2864300496820928,-0.23991148904539256,-0.267679154363932,Cabo Verde,Sub-Saharan Africa ,Upper middle income
CRI,1.3767286682252777,-1.0152383539297873,-0.4817448124309321,0.10009939272596056,0.8366261037942467,-1.4468393939382853,-0.4614417307848684,-0.12564395849293072,0.7840841596992696,-0.2008764202741735,0.23856037792521348,-0.06922268226286811,-0.17167761375917467,-0.048883923139894786,Costa Rica,Latin America & Caribbean ,High income
CUB,1.3798850356523709,-0.7349872992143873,-0.303913450593189,-0.2226223793689266,-1.7169839140723062,-0.028529230739172896,-0.2641188508597769,0.40128341177935817,-0.05130218724208235,-0.9831750494178034,0.4510133714986031,-0.9108678534813055,0.06629798172673924,0.24908650770928614,Cuba,Latin America & Caribbean ,Upper middle income
CYP,3.1142474719589615,-1.9169346951638597,0.5761699674625133,0.07473568148381227,-0.5873930442317578,0.10743639762518904,0.23660598092999835,-0.39144576283878424,-0.08309968992578465,0.045307265919606085,-0.20550166948446563,0.09637637246266773,-0.1385218117022179,-0.06268511203849916,Cyprus,Europe & Central Asia,High income
CZE,2.1243478682628227,0.8114137890388067,0.16845094384282586,-0.21659097050842174,-1.101816587921754,0.5873587555078336,0.17917479050065935,0.015624301581741877,-0.11954368699894904,-0.2731767942030494,-0.12475398997330195,-0.03950288189982519,-0.1253211822668697,0.08594158547400894,Czechia,Europe & Central Asia,High income
DEU,2.5209162411873516,0.5625552814440082,-0.8800260119921884,-0.378492707246048,-0.6035604876606456,-0.5369347285092133,-0.12300065838388112,-0.15104843972691595,-0.07251704065524496,-0.2853414146866303,-0.029445995205734012,0.015294313882527482,0.2997858952662652,-0.059280354141842795,Germany,Europe & Central Asia,High income
DJI,1.1226369246846017,-4.087459731034583,0.6501346408220634,3.3287156398528395,0.6413870036147623,-0.04219806061670992,-2.1341488948464113,0.2338084873021532,-0.5413967805156127,0.08068916104050183,0.5058133296615562,-0.07676479851333162,-0.45656114947923954,0.17647856356624084,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
DMA,-0.09358830153485366,-1.2119317122069355,-0.3290365093264386,0.013660459690093519,0.5033829756153249,-0.17051101630601595,0.0768565207819208,0.618114130627404,0.48328496338343224,0.38824033924333157,0.10994983779214663,0.736755632071197,0.18669383823501529,-0.22472176893242057,Dominica,Latin America & Caribbean ,Upper middle income
DNK,3.0681788673797956,-0.07708312607062225,-0.11212367133948982,0.19583260133838654,-0.24394681232277135,-0.2939773534444836,0.10041058367216749,0.1720693411321217,0.4288433611676468,-0.42544949262501686,0.029241854715926864,0.26547508618798576,0.39348233609559996,-0.1266727607820277,Denmark,Europe & Central Asia,High income
DOM,0.3605654198768837,0.6463023618563292,-0.5415868085343843,-0.4679041358408795,0.5163241299746145,-0.612415179108353,0.555754544092339,0.28571857418263996,-0.13247078639797555,-0.2042784005996556,0.5061335271508768,-0.16287662796808702,0.19683240842408942,-0.1408140911240078,Dominican Republic,Latin America & Caribbean ,Upper middle income
