countryiso3code,country,region,income,cluster_k2,cluster_k3,PC1,PC2
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,2,2.2646451743033524,2.8519597859467103
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,-3.226670488355934,-0.32013011479916037
PAN,Panama,Latin America & Caribbean ,High income,1,2,1.3378237133228184,0.14184186799306198
PER,Peru,Latin America & Caribbean ,Upper middle income,1,1,0.09884808741164995,0.9487803619270895
PHL,Philippines,East Asia & Pacific,Lower middle income,0,1,-0.6884754636940321,0.004069061152784969
PLW,Palau,East Asia & Pacific,High income,1,2,2.3205396183409723,-0.39607379454775865
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,0,0,-3.389433707664468,0.7738777593286846
POL,Poland,Europe & Central Asia,High income,1,2,1.5513331055402941,0.49764896412148596
PRI,Puerto Rico (US),Latin America & Caribbean ,High income,1,2,2.4984613931385136,1.3228221817161407
PRT,Portugal,Europe & Central Asia,High income,1,2,1.7952721382520582,-0.7390488569753932
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,1,1,-0.33329422234753475,0.4602980771286189
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,1,-0.32054373054051594,-0.7156217311424891
PYF,French Polynesia,East Asia & Pacific,High income,1,1,1.4430041262288134,-0.5225752864442371
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,2,4.042999246910307,3.5479515494870024
ROU,Romania,Europe & Central Asia,High income,1,1,0.8668546172852571,0.23023405928106702
RUS,Russian Federation,Europe & Central Asia,High income,1,1,0.9602672752630087,1.6105285369016096
RWA,Rwanda,Sub-Saharan Africa ,Low income,0,0,-3.3906834538751465,-0.8039938702194045
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,2,1.8954412984042062,3.0172091640352194
SDN,Sudan,Sub-Saharan Africa ,Low income,0,0,-5.17009007827003,1.0997601835769815
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,0,0,-1.913756259229887,0.5292079065300682
SGP,Singapore,East Asia & Pacific,High income,1,2,4.769398073241844,-0.852738476426999
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,0,0,-2.686197654817691,-0.5490699962149687
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,0,0,-3.902414365724686,0.0190492931344834
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,1,1,-0.07626124053173712,-0.4614578096653547
SMR,San Marino,Europe & Central Asia,High income,1,2,4.633951331188883,0.5235411995050003
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,0,0,-3.3660940008830744,-1.2301202661293376
SRB,Serbia,Europe & Central Asia,Upper middle income,1,1,1.0387499639189393,-0.13203597378420442
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,0,1,-1.215882965169118,-3.295062077531297
SUR,Suriname,Latin America & Caribbean ,Upper middle income,1,1,-0.37342072221718725,1.639856770775247
SVK,Slovak Republic,Europe & Central Asia,High income,1,2,1.9568782549444017,-0.17218041237657222
SVN,Slovenia,Europe & Central Asia,High income,1,2,2.2633460640211154,0.3059176449070768
SWE,Sweden,Europe & Central Asia,High income,1,2,2.8013907631762938,-0.1907759015627014
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,0,1,-1.4303778339124797,-0.4942039410692232
SYC,Seychelles,Sub-Saharan Africa ,High income,1,2,2.0072697669242188,-1.579925056964418
TCD,Chad,Sub-Saharan Africa ,Low income,0,0,-5.056920765681083,0.979356297207475
TGO,Togo,Sub-Saharan Africa ,Low income,0,0,-3.349093499667633,-0.14714428981777572
THA,Thailand,East Asia & Pacific,Upper middle income,1,2,0.7674439374179156,0.7077737913509712
TJK,Tajikistan,Europe & Central Asia,Lower middle income,0,0,-2.7607564046391095,1.0165875812191532
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,1,1,-0.5540786266791684,2.2678246816534653
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,0,0,-2.3553670117459347,-0.5769492393992373
TON,Tonga,East Asia & Pacific,Upper middle income,0,0,-1.753943873577338,-0.4459704134394441
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,1,2,1.7784077364283637,0.938269381266612
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,1,0.5432063594241673,-1.1619782181077307
TUR,Turkiye,Europe & Central Asia,Upper middle income,1,1,0.8937449988494087,1.1105331896161101
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,0,0,-3.868729425125062,1.7903902342860396
UGA,Uganda,Sub-Saharan Africa ,Low income,0,0,-4.101304692876967,0.2247723258665807
UKR,Ukraine,Europe & Central Asia,Upper middle income,1,1,-0.07716566445088345,-0.5490688518012523
URY,Uruguay,Latin America & Caribbean ,High income,1,1,1.21975896226343,-0.6666058253595185
USA,United States,North America,High income,1,2,1.7041779626810103,1.7318168260441182
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,0,1,-0.9056894841164902,1.4152998906202559
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,1,1,0.30567300220836885,-1.8173228843269613
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,1,1,-0.7046078036435226,-0.5889957175409734
VNM,Viet Nam,East Asia & Pacific,Lower middle income,1,1,-0.13895508786233074,1.3971162033061462
WSM,Samoa,East Asia & Pacific,Upper middle income,0,1,-0.7784623489724309,-1.6283903548171597
XKX,Kosovo,Europe & Central Asia,Upper middle income,1,1,0.17231607416392833,0.5316654786587481
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,1,1,0.35743445041359123,-0.590476248159651
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,0,0,-1.9091740500954046,0.11993107354875465
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,0,0,-2.9954462248345712,-0.17014806562022003
