countryiso3code,NY.GDP.PCAP.KD,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,SP.URB.TOTL.IN.ZS,SP.DYN.LE00.IN,IT.NET.USER.ZS,EN.GHG.CO2.PC.CE.AR5,country,region,income
CPV,2514.16779255327,6.91245795720201,0.41889161285517,13.439,,37.7773604608664,66.5664793961861,9.00118732269349,19.2110778495222,71.7877348277842,57.7977695763157,70.936,6.07408710659813,1.25186811374623,Cabo Verde,Sub-Saharan Africa ,Upper middle income
CRI,8655.33965418585,3.97666636818026,13.7982949108987,6.749,18.9641457289161,43.4645223606983,45.7581415316241,8.62223694626727,24.2695341122995,57.7916436421547,64.8998632216384,78.877,22.07,1.49160807652233,Costa Rica,Latin America & Caribbean ,High income
CUB,5182.35283601732,11.2016564219094,,1.95,10.774593517397,21.018043449426,18.3433309837714,4.36365221842694,21.5268299936084,72.9508509202811,76.0033319545493,77.54,9.73806220781346,2.32679017565643,Cuba,Latin America & Caribbean ,Upper middle income
CUW,21112.3218717015,0.676425345201665,4.11711711711707,,,59.4962849609475,75.4151748217441,0.588865493053005,15.4098404091381,77.9973255026024,91.1746923604573,73.873,,,Curacao,Latin America & Caribbean ,High income
CYP,25631.3671875,4.85298762175586,2.56016132330233,5.481,22.2094374377754,55.6921064986712,56.2249587732868,2.73852781486715,17.8911353003281,66.7369863544184,68.4340674211981,79.198,32.81,7.63016201306566,Cyprus,Europe & Central Asia,High income
CZE,15147.7214417611,6.37502886086791,1.85709789109228,7.927,29.2856028582089,61.7588664473362,59.4324208687688,2.28125770679761,33.5317423512837,54.6370936474549,73.6375545423198,75.9243902439025,35.27,12.6378778002542,Czechia,Europe & Central Asia,High income
DEU,36024.0947047021,0.885485292551564,1.54691114751328,11.193,18.7355259254163,35.9531497908166,30.9999527026155,0.72605784900095,25.6870805044481,63.6742328149253,80.1745168510383,78.9317073170732,68.71,10.2067903422435,Germany,Europe & Central Asia,High income
DMA,7381.74728529453,0.915286472779144,1.68190079877552,,,,,11.9146963375058,16.0776967254217,58.8080572980235,66.2400724917823,72.016,38.54359818,0.856926702941776,Dominica,Latin America & Caribbean ,Upper middle income
DNK,52015.1841169021,2.35960882992528,1.81781458291254,4.83,22.1713094338111,47.3751212346545,42.0236740114126,1.13056388790591,22.1118631886264,61.7717624204858,86.0059706832865,77.8439024390244,82.74,9.34585026622716,Denmark,Europe & Central Asia,High income
DOM,4549.24957008857,9.43178931977285,4.19020260472056,6.587,24.7730711459319,28.3311381514539,33.3224205843488,7.21193528375622,30.2693576810614,55.767972107314,67.5759180469321,71.043,11.4831977789344,2.03684886147845,Dominican Republic,Latin America & Caribbean ,Upper middle income
