iso,perc_e,perc_m,dperc,tier_e,tier_m,pc1_e,pc1_m,country,region
LBR,2.083333333333333,7.853403141361256,5.770069808027923,0,0,-4.533402199207596,-2.866218664506523,Liberia,Sub-Saharan Africa 
LBY,66.14583333333334,66.49214659685863,0.346313263525289,1,1,0.7695005874407235,1.5812535771049037,Libya,"Middle East, North Africa, Afghanistan & Pakistan"
LKA,30.208333333333332,26.17801047120419,-4.030322862129143,0,0,-1.7243624567720817,-1.0460858240651334,Sri Lanka,South Asia
LSO,13.020833333333334,24.083769633507853,11.062936300174519,0,0,-3.338413416739312,-1.2879218679469726,Lesotho,Sub-Saharan Africa 
LTU,67.70833333333334,76.96335078534031,9.255017452006967,1,1,0.9249297309545399,2.2418956646636614,Lithuania,Europe & Central Asia
LUX,100.0,100.0,0.0,1,1,4.713048136407987,5.397917314061273,Luxembourg,Europe & Central Asia
LVA,69.79166666666666,72.25130890052355,2.459642233856897,1,1,1.0533053022595655,1.9306983389360999,Latvia,Europe & Central Asia
MAC,96.35416666666666,91.62303664921467,-4.731130017451989,1,1,3.124749903885035,3.2366557817091377,"Macao SAR, China",East Asia & Pacific
MAR,38.54166666666667,45.54973821989529,7.008071553228618,0,1,-1.1134157052835465,0.4062852642240299,Morocco,"Middle East, North Africa, Afghanistan & Pakistan"
MDA,40.625,38.7434554973822,-1.8815445026177997,0,1,-1.0586120996397006,0.03609274185758689,Moldova,Europe & Central Asia
MDG,10.9375,6.282722513089005,-4.654777486910995,0,0,-3.6291924751197806,-3.02801045142253,Madagascar,Sub-Saharan Africa 
MDV,58.333333333333336,69.63350785340315,11.30017452006981,1,1,-0.034754585790846684,1.8151080746881334,Maldives,South Asia
MEX,65.10416666666666,60.73298429319372,-4.371182373472941,1,1,0.5508521611110722,1.2784986551765878,Mexico,Latin America & Caribbean 
MHL,51.5625,38.21989528795812,-13.342604712041883,1,0,-0.29130128103884995,-0.06335468026199523,Marshall Islands,East Asia & Pacific
MKD,63.020833333333336,63.87434554973822,0.8535122164048872,1,1,0.15303301599457614,1.4086116813402243,North Macedonia,Europe & Central Asia
MLI,8.333333333333332,5.7591623036649215,-2.5741710296684106,0,0,-3.9560923137429675,-3.09614807154681,Mali,Sub-Saharan Africa 
MLT,92.1875,97.38219895287958,5.194698952879577,1,1,2.6985613083939923,4.119372149407296,Malta,"Middle East, North Africa, Afghanistan & Pakistan"
MMR,9.375,11.518324607329843,2.143324607329843,0,0,-3.8133395968540733,-2.6039642819775617,Myanmar,East Asia & Pacific
MNE,61.458333333333336,65.44502617801047,3.9866928446771297,1,1,0.1028658239769305,1.5440296606504422,Montenegro,Europe & Central Asia
MNG,40.10416666666667,53.92670157068062,13.82253490401395,0,1,-1.0859252191180773,0.8797423393767201,Mongolia,East Asia & Pacific
MOZ,11.458333333333332,12.56544502617801,1.1071116928446774,0,0,-3.6109860186354683,-2.561725177995678,Mozambique,Sub-Saharan Africa 
MRT,24.479166666666664,26.701570680628272,2.222404013961608,0,0,-2.312613943273443,-1.0311855509494987,Mauritania,Sub-Saharan Africa 
MUS,61.979166666666664,57.59162303664922,-4.387543630017447,1,1,0.13178834937570597,1.1907509170820254,Mauritius,Sub-Saharan Africa 
MWI,6.25,2.6178010471204187,-3.6321989528795813,0,0,-4.212586372077033,-3.735768905095495,Malawi,Sub-Saharan Africa 
MYS,72.39583333333334,73.29842931937172,0.9025959860383779,1,1,1.1895821719428907,1.939465269628626,Malaysia,East Asia & Pacific
NAM,29.6875,37.17277486910995,7.485274869109951,0,0,-1.7480100863498995,-0.1494914559661285,Namibia,Sub-Saharan Africa 
NER,1.5625,3.1413612565445024,1.5788612565445024,0,0,-4.772351117235907,-3.6661850598178525,Niger,Sub-Saharan Africa 
NGA,14.0625,9.947643979057592,-4.114856020942408,0,0,-3.232088301782569,-2.6750937839843387,Nigeria,Sub-Saharan Africa 
NIC,30.729166666666668,30.89005235602094,0.1608856893542736,0,0,-1.675524494620685,-0.545744238507659,Nicaragua,Latin America & Caribbean 
NLD,97.39583333333334,94.24083769633508,-3.1549956369982652,1,1,3.1676093841996806,3.7239285807247806,Netherlands,Europe & Central Asia
